command	path	resolved_path	package
1password2john	/bin/1password2john	/usr/share/john/1password2john.py	unowned
3cpio	/bin/3cpio	/usr/bin/3cpio	3cpio
7z	/bin/7z	/usr/bin/7z	7zip
7z2john	/bin/7z2john	/usr/share/john/7z2john.pl	unowned
7za	/bin/7za	/usr/bin/7za	7zip
7zr	/bin/7zr	/usr/bin/7zr	7zip
DPAPImk2john	/bin/DPAPImk2john	/usr/share/john/DPAPImk2john.py	unowned
GET	/bin/GET	/usr/bin/lwp-request	libwww-perl
HEAD	/bin/HEAD	/usr/bin/lwp-request	libwww-perl
POST	/bin/POST	/usr/bin/lwp-request	libwww-perl
[	/bin/[	/usr/bin/[	coreutils
ab	/bin/ab	/usr/bin/ab	apache2-utils
activate-global-python-argcomplete	/bin/activate-global-python-argcomplete	/usr/bin/activate-global-python-argcomplete	python3-argcomplete
addr2line	/bin/addr2line	/usr/bin/x86_64-linux-gnu-addr2line	binutils-x86-64-linux-gnu
adxcsouf2john	/bin/adxcsouf2john	/usr/share/john/adxcsouf2john.py	unowned
aem2john	/bin/aem2john	/usr/share/john/aem2john.py	unowned
agentxtrap	/bin/agentxtrap	/usr/bin/agentxtrap	snmp
aircrack-ng	/bin/aircrack-ng	/usr/bin/aircrack-ng	aircrack-ng
airdecap-ng	/bin/airdecap-ng	/usr/bin/airdecap-ng	aircrack-ng
airdecloak-ng	/bin/airdecloak-ng	/usr/bin/airdecloak-ng	aircrack-ng
airolib-ng	/bin/airolib-ng	/usr/bin/airolib-ng	aircrack-ng
aix2john	/bin/aix2john	/usr/share/john/aix2john.py	unowned
amass	/bin/amass	/usr/bin/amass	amass
andotp2john	/bin/andotp2john	/usr/share/john/andotp2john.py	unowned
androidbackup2john	/bin/androidbackup2john	/usr/share/john/androidbackup2john.py	unowned
androidfde2john	/bin/androidfde2john	/usr/share/john/androidfde2john.py	unowned
ansible2john	/bin/ansible2john	/usr/share/john/ansible2john.py	unowned
antdsparse	/bin/antdsparse	/usr/bin/antdsparse	python3-aesedb
apex2john	/bin/apex2john	/usr/share/john/apex2john.py	unowned
applenotes2john	/bin/applenotes2john	/usr/share/john/applenotes2john.py	unowned
appres	/bin/appres	/usr/bin/appres	x11-utils
apt	/bin/apt	/usr/bin/apt	apt
apt-cache	/bin/apt-cache	/usr/bin/apt-cache	apt
apt-cdrom	/bin/apt-cdrom	/usr/bin/apt-cdrom	apt
apt-config	/bin/apt-config	/usr/bin/apt-config	apt
apt-extracttemplates	/bin/apt-extracttemplates	/usr/lib/apt/apt-extracttemplates	unowned
apt-ftparchive	/bin/apt-ftparchive	/usr/bin/apt-ftparchive	apt-utils
apt-get	/bin/apt-get	/usr/bin/apt-get	apt
apt-mark	/bin/apt-mark	/usr/bin/apt-mark	apt
apt-sortpkgs	/bin/apt-sortpkgs	/usr/bin/apt-sortpkgs	apt-utils
apython	/bin/apython	/usr/bin/apython	python3-aioconsole
ar	/bin/ar	/usr/bin/x86_64-linux-gnu-ar	binutils-x86-64-linux-gnu
arch	/bin/arch	/usr/bin/arch	coreutils
aria_chk	/bin/aria_chk	/usr/bin/aria_chk	mariadb-server
aria_dump_log	/bin/aria_dump_log	/usr/bin/aria_dump_log	mariadb-server
aria_ftdump	/bin/aria_ftdump	/usr/bin/aria_ftdump	mariadb-server
aria_pack	/bin/aria_pack	/usr/bin/aria_pack	mariadb-server
aria_read_log	/bin/aria_read_log	/usr/bin/aria_read_log	mariadb-server
arpspoof	/bin/arpspoof	/usr/bin/arpspoof	dsniff
aruba2john	/bin/aruba2john	/usr/share/john/aruba2john.py	unowned
as	/bin/as	/usr/bin/x86_64-linux-gnu-as	binutils-x86-64-linux-gnu
ascii-xfr	/bin/ascii-xfr	/usr/bin/ascii-xfr	minicom
asmbcertreq	/bin/asmbcertreq	/usr/bin/asmbcertreq	python3-aiosmb
asmbclient	/bin/asmbclient	/usr/bin/asmbclient	python3-aiosmb
asmbgetfile	/bin/asmbgetfile	/usr/bin/asmbgetfile	python3-aiosmb
asmbscanner	/bin/asmbscanner	/usr/bin/asmbscanner	python3-aiosmb
asmbshareenum	/bin/asmbshareenum	/usr/bin/asmbshareenum	python3-aiosmb
asn1tools	/bin/asn1tools	/usr/bin/asn1tools	python3-asn1tools
asysocks-brute	/bin/asysocks-brute	/usr/bin/asysocks-brute	python3-asysocks
