3cpio	0.14.0-1+b1	ii 
7zip	26.02+dfsg-2	ii 
adduser	3.158	ii 
adwaita-icon-theme	50.0-2	ii 
aircrack-ng	1:1.7+git20230807.4bf83f1a-3	ii 
amass	5.1.1-0kali3	ii 
apache2	2.4.68-1	ii 
apache2-bin	2.4.68-1	ii 
apache2-data	2.4.68-1	ii 
apache2-utils	2.4.68-1	ii 
apt	3.3.2+kali1	ii 
apt-utils	3.3.2+kali1	ii 
arp-scan	1.10.0-2+b1	ii 
arping	2.29-1	ii 
at-spi2-common	2.61.1-1	ii 
atftpd	0.8.1-2	ii 
axel	2.17.14-4	ii 
base-files	1:2026.3.0	ii 
base-passwd	3.6.8	ii 
bash	5.3-3+b1	ii 
bind9-dnsutils	1:9.20.27-1	ii 
bind9-host	1:9.20.27-1	ii 
bind9-libs:amd64	1:9.20.27-1	ii 
binutils	2.47-2	ii 
binutils-common:amd64	2.47-2	ii 
binutils-mingw-w64-base	2.45.90.20260125-1+13.3	ii 
binutils-mingw-w64-i686	2.45.90.20260125-1+13.3	ii 
binutils-mingw-w64-x86-64	2.45.90.20260125-1+13.3	ii 
binutils-x86-64-linux-gnu	2.47-2	ii 
binwalk	2.4.3+dfsg1-3	ii 
binwalk3	3.1.0-0kali4	ii 
bloodhound.py	1.9.0-0kali1	ii 
bluez	5.87-1	ii 
bsdutils	1:2.42.2-2	ii 
bubblewrap	0.11.2-2	ii 
bulk-extractor	2.1.1+git20260109.898db1-0kali3	ii 
bully	1.4.00-2+b1	ii 
bundler	4.0.18-1	ii 
burpsuite	2026.8-0kali1	ii 
busybox	1:1.38.0-3+b1	ii 
bzip2	1.0.8-6+b2	ii 
ca-certificates	20260601	ii 
ca-certificates-java	20260311	ii 
cadaver	0.28+dfsg-2	ii 
certipy-ad	5.1.0-0kali1	ii 
cewl	6.2.1-1	ii 
chntpw	140201-1.3	ii 
chromium	150.0.7871.181-1	ii 
chromium-common	150.0.7871.181-1	ii 
cifs-utils	2:7.4-1	ii 
clang	1:21.1.6-71+b1	ii 
clang-21	1:21.1.8-10	ii 
comerr-dev:amd64	2.1-1.47.4-1+b1	ii 
commix	4.1-0kali1	ii 
coreboot-utils	25.09+dfsg-1	ii 
coreutils	9.10-1	ii 
creddump7	0.1+git20190429-1.1	ii 
crunch	3.6-3.1	ii 
cryptcat	20031202-5kali8	ii 
cryptsetup	2:2.8.7-1	ii 
cryptsetup-bin	2:2.8.7-1	ii 
cryptsetup-initramfs	2:2.8.7-1	ii 
cryptsetup-nuke-password	9	ii 
curl	8.21.0-2	ii 
dash	0.5.12-12	ii 
davtest	1.2+git20230307.34d31db-0kali1	ii 
dbd	1.50-1kali7	ii 
dbus	1.16.2-5+b1	ii 
dbus-bin	1.16.2-5+b1	ii 
dbus-daemon	1.16.2-5+b1	ii 
dbus-session-bus-common	1.16.2-5	ii 
dbus-system-bus-common	1.16.2-5	ii 
dbus-user-session	1.16.2-5+b1	ii 
dconf-gsettings-backend:amd64	0.49.0-4+b1	ii 
dconf-service	0.49.0-4+b1	ii 
dcraw	9.28-8	ii 
debconf	1.5.92	ii 
debian-archive-keyring	2025.1	ii 
debianutils	5.23.2	ii 
default-jre	2:1.25-77	ii 
default-jre-headless	2:1.25-77	ii 
default-mysql-server	1.1.1	ii 
dictionaries-common	1.31.4	ii 
diffutils	1:3.12-1	ii 
dirb	2.22+dfsg-7	ii 
dmidecode	3.7-1	ii 
dmitry	1.3a-8	ii 
dmsetup	2:1.02.205-2+b2	ii 
dns2tcp	0.5.2-4	ii 
dnschef	0.4+git20190327-0kali4	ii 
dnsenum	1.3.2-1	ii 
dnsrecon	1.6.0-1	ii 
dos2unix	7.5.4-1	ii 
dpkg	1.23.7+kali1	ii 
dracut-install	112-2	ii 
dsniff	2.5a2-1	ii 
emacsen-common	3.0.8	ii 
enum4linux	0.9.1-0kali2	ii 
ethtool	1:7.1-1	ii 
ettercap-common	1:0.8.4.1-2	ii 
evil-winrm	3.9-0kali2	ii 
exe2hexbat	1.5.1-0kali2	ii 
exiv2	0.28.8+dfsg-1	ii 
expect	5.45.4-8	ii 
exploitdb	20260826-0kali1	ii 
ffuf	2.2.1-1	ii 
fierce	1.6.0-2	ii 
file	1:5.47-4	ii 
findutils	4.11.0-2	ii 
firebird4.0-common	4.0.7.3271.ds6-1	ii 
firebird4.0-common-doc	4.0.7.3271.ds6-1	ii 
flac	1.5.0+ds-5+b1	ii 
flashrom	1.6.0-3	ii 
fontconfig	2.17.1-5	ii 
fontconfig-config	2.17.1-5	ii 
fonts-font-awesome	7.3.0+dfsg-1	ii 
fonts-font-awesome-legacy	6-3	ii 
fonts-freefont-ttf	20211204+svn4273-4	ii 
fonts-lato	2.015-1	ii 
fping	5.1-1	ii 
freetds-common	1.5.5+ds-1	ii 
ftp	20260211-2	ii 
fuse3	3.18.2-2	ii 
galera-4	26.4.27-1	ii 
gawk	1:5.3.2-1	ii 
gcc-15-base:amd64	15.3.0-2	ii 
gcc-16-base:amd64	16.2.0-1	ii 
gcc-mingw-w64-base	15.2.0-12+28.3	ii 
gcc-mingw-w64-i686-win32	15.2.0-12+28.3	ii 
gcc-mingw-w64-i686-win32-runtime	15.2.0-12+28.3	ii 
gcc-mingw-w64-x86-64-win32	15.2.0-12+28.3	ii 
gcc-mingw-w64-x86-64-win32-runtime	15.2.0-12+28.3	ii 
gdisk	1.0.10-3	ii 
geoip-database	20260801-1	ii 
git	1:2.53.0-1	ii 
git-man	1:2.53.0-1	ii 
glycin-loaders	2.1.5+ds-2	ii 
glycin-thumbnailers	2.1.5+ds-2	ii 
gobuster	3.8.2-1	ii 
gpp-decrypt	0.1-1kali3	ii 
grep	3.12-1	ii 
gtk-update-icon-cache	4.22.4+ds-1	ii 
gzip	1.14-1	ii 
hash-identifier	1.2+git20180314-0kali3	ii 
hashcat	7.1.2+ds1-4	ii 
hashcat-data	7.1.2+ds1-4	ii 
hashcat-utils	1.10-0kali2	ii 
hashdeep	4.4+git20170824+ds-1	ii 
hashid	3.1.4-5	ii 
hicolor-icon-theme	0.18-2	ii 
hostname	3.25	ii 
hotpatch	0.2-1kali4	ii 
hping3	3.a2.ds2-11~kali1	ii 
hwloc	2.14.0-2	ii 
hydra	9.7-1	ii 
hyphen-en-us	2.8.9-3	ii 
i2c-tools	4.4-3+b1	ii 
ieee-data	20260625	ii 
ifenslave	2.14	ii 
ifupdown	0.8.45+nmu1	ii 
ike-scan	1.9.5-2	ii 
impacket-scripts	1.10	ii 
inetsim	1.3.2+dfsg.1-8	ii 
inetutils-telnet	2:2.8-3	ii 
init-system-helpers	1.69+kali1	ii 
initramfs-tools	0.151	ii 
initramfs-tools-bin	0.151	ii 
initramfs-tools-core	0.151	ii 
iodine	0.7.0-13	ii 
iproute2	7.1.0-1	ii 
iw	6.17-1	ii 
java-common	0.77	ii 
java-wrappers	0.5	ii 
john	1.9.0-Jumbo-1+git20211102-0kali11	ii 
john-data	1.9.0-Jumbo-1+git20211102-0kali11	ii 
kali-archive-keyring	2025.2	ii 
kali-defaults	2026.3.2	ii 
kali-linux-core	2026.3.4	ii 
kali-linux-headless	2026.3.4	ii 
kali-system-cli	2026.3.4	ii 
kali-system-core	2026.3.4	ii 
kali-tools-top10	2026.3.4	ii 
keyutils	1.6.3-6+b2	ii 
kismet	2025.09.R1-0kali3	ii 
kismet-capture-antsdr-droneid	2025.09.R1-0kali3	ii 
kismet-capture-common	2025.09.R1-0kali3	ii 
kismet-capture-freaklabs-zigbee	2025.09.R1-0kali3	ii 
kismet-capture-hak5-wifi-coconut	2025.09.R1-0kali3	ii 
kismet-capture-linux-bluetooth	2025.09.R1-0kali3	ii 
kismet-capture-linux-wifi	2025.09.R1-0kali3	ii 
kismet-capture-nrf-51822	2025.09.R1-0kali3	ii 
kismet-capture-nrf-52840	2025.09.R1-0kali3	ii 
kismet-capture-nrf-mousejack	2025.09.R1-0kali3	ii 
kismet-capture-nxp-kw41z	2025.09.R1-0kali3	ii 
kismet-capture-radiacode-usb	2025.09.R1-0kali3	ii 
kismet-capture-rtl433	2025.09.R1-0kali3	ii 
kismet-capture-rtladsb	2025.09.R1-0kali3	ii 
kismet-capture-rz-killerbee	2025.09.R1-0kali3	ii 
kismet-capture-serial-radview	2025.09.R1-0kali3	ii 
kismet-capture-ti-cc-2531	2025.09.R1-0kali3	ii 
kismet-capture-ti-cc-2540	2025.09.R1-0kali3	ii 
kismet-capture-ubertooth-one	2025.09.R1-0kali3	ii 
kismet-core	2025.09.R1-0kali3	ii 
kismet-logtools	2025.09.R1-0kali3	ii 
klibc-utils	2.0.14-1+b2	ii 
kmod	34.2-2kali1	ii 
krb5-multidev:amd64	1.22.1-3	ii 
laudanum	1.0+r36-0kali6	ii 
lbd	0.4-1kali3	ii 
ldap-utils	2.6.14+dfsg-1	ii 
libabsl20260526:amd64	20260526.0-2	ii 
libacl1:amd64	2.4.0-1	ii 
libafflib0t64:amd64	3.7.22-3	ii 
libaio1t64:amd64	0.3.113-9+kali2	ii 
libaom3:amd64	3.14.1-1	ii 
libapache2-mod-php8.4	8.4.24-1	ii 
libapparmor1:amd64	4.1.8-1	ii 
libapr1t64:amd64	1.7.6-3+b1	ii 
libaprutil1-dbd-sqlite3:amd64	1.6.4-2	ii 
