package	version	commands	purpose
7zip	26.02+dfsg-2	7z,7za,7zr,p7zip	7-Zip file archiver with a high compression ratio
aircrack-ng	1:1.7+git20230807.4bf83f1a-3	airbase-ng,aircrack-ng,airdecap-ng,airdecloak-ng,aireplay-ng,airmon-ng,airodump-ng,airodump-ng-oui-update,airolib-ng,airserv-ng,airtun-ng,airventriloquist-ng,besside-ng,besside-ng-crawler,buddy-ng,dcrack,easside-ng,ivstools,kstats,makeivs-ng,packetforge-ng,tkiptun-ng,wesside-ng,wpaclean	wireless WEP/WPA cracking utilities
amass	5.1.1-0kali3	amass	In-depth DNS Enumeration and Network Mapping
apache2	2.4.68-1	a2disconf,a2dismod,a2dissite,a2enconf,a2enmod,a2ensite,a2query,apache2ctl,apachectl	Apache HTTP Server
arp-scan	1.10.0-2+b1	arp-fingerprint,arp-scan,get-iab,get-oui	arp scanning and fingerprinting tool
atftpd	0.8.1-2	atftpd,in.tftpd	advanced TFTP server
axel	2.17.14-4	axel	light command line download accelerator
bind9-dnsutils	1:9.20.27-1	delv,dig,dnstap-read,mdig,nslookup,nsupdate	Clients provided with BIND 9
binwalk	2.4.3+dfsg1-3	binwalk	tool library for analyzing binary blobs and executable code
binwalk3	3.1.0-0kali4	binwalk3	tool library for analyzing binary blobs and executable code
bluez	5.87-1	bluemoon,bluetoothctl,bluetoothd,btattach,btmgmt,btmon,ciptool,gatttool,hciattach,hciconfig,hcitool,hex2hcd,l2ping,l2test,mpris-proxy,obexctl,rctest,rfcomm,sdptool	Bluetooth tools and daemons
bulk-extractor	2.1.1+git20260109.898db1-0kali3	bulk_extractor	Extracts information without parsing filesystem
bully	1.4.00-2+b1	bully	Implementation of the WPS brute force attack, written in C
burpsuite	2026.8-0kali1	burpsuite	platform for security testing of web applications
cadaver	0.28+dfsg-2	cadaver	command-line WebDAV client
certipy-ad	5.1.0-0kali1	certipy-ad	Tool for attacking AD Certificate Services
cewl	6.2.1-1	cewl,fab-cewl	custom word list generator
chntpw	140201-1.3	chntpw,reged,sampasswd,samunlock,samusrgrp	NT SAM password recovery utility
cifs-utils	2:7.4-1	cifs.idmap,cifs.upcall,cifscreds,getcifsacl,mount.cifs,mount.smb3,setcifsacl,smb2-quota,smbinfo	Common Internet File System utilities
